authors,comments
Hermawan Salim,"UMAT KRISTEN AKAN MEMILIH CAPRES YG MAU MENCABUT SKB 3 MENTERI.<br>DENGAN SYARAT HITAM DI ATAS PUTIH, DI SAKSIKAN OLEH PARA PENDETA INDONESIA.<br>SELURUH SUARA UMAT KRISTEN 30% DARI JUMLAH PENDUDUK INDONESIA.<br>CUKUP BANYAK, CAPRES YG BERMINAT SILAKAN MERAPAT KE PSI."
Herjianto Media,Cuma bisnis politik doang kalau masih ada threshold 20 persen
Sri ningsih Sei ayu,Semngat pokonya BPK Ganjar Pranowo RI 1 lajutkn kerja BPK persiden Jokowi
alghazjatta radeya,"Silahkan bebas tinggiin survey sendiri, aq sih ga percaya survey"
Nafeeza Nafeeza,Pak anies baswedan mantap
smantv,"Lembaga survey misal data yang masuk 100 untuk calon A, tpi yg diinputkan 10 misalnya, indikatornya apa ya? Kan hanya independensi dan moralitas saja yg bisa mencegah. Siapa yg bisa mencegah kejadian itu!?"
eko yuwono,GANJAR TETEAP TERDEPAN...YANG LAIN KETINGGALAN...!!!
Cipto Parmono,"HANYA. BP.PRABOWO SUBIANTO, YANG SIAP MENGAYOMI RAKYAT. DEMI KEMAKMURAN. PRESIDEN RI .TH.2024."
One Heart,"1 putaran aj,,, kebanyakan biaya kalo 2putaran😂😂😂"
rudi hartono,"Ganjar gasssssss ,presiden 2024"
Stay Weird,Pak ganjar
Jansrul Djaja,100% Ganjar pasti menang 2024 🎉🎉🎉🇮🇩🇮🇩🇮🇩👍👍👍🙏🏻🙏🏻🙏🏻
Omega Dua,Pak ganjar pranowo.
MR EDAN,"GANJAR LANJUTKAN ,"
Angga Setyo,Wkwkw
Aji Suci,Sayang Btv..siaranya  ga tertangkap didaerah Banyumas Raya.
eko wijay,"Lha wong survei pesanan....propaganda utk mempengaruhi dan menggoda pikiran orang agar milih ganjar....padahal ganjar faktanya mengumbar bahwa dirinya penggemar pornografi nonton film bokep dan merasa tdk bersalah, hal itu dia sampaikan di depan publik...bisajadi ganjar ada gangguan moral"
Aris Wahyu,Ganjar semakin dihati
Joice Lennon,Prabowo is my Voting 2024
Masjun Kendal,❤❤❤❤GANJAR.... &amp; PRABOWO.. 👍👍👍👍👍...... BAMBU MESUM 500 juta.... Setahun di BONGKAR.... ohhh tidak..... Cukup JAKARTA Korbannya.. 😮😮😮
Besi Tua,Klu Ganjar ingin menang harus ada selisih 10% lebih tinggi dari pada Prabowo.. klu kurang dari 10% kemungkinan Ganjar akan kalah dengan Prabowo d putaran ke 2.<br>Nama y juga prediksi 😅
Mamanya Laksmi,"​@bakayaro_16 saudaraku stop polarisasi... karena narasi narasi spt itu, saya tidak pilih pak ganjar . Saya pilih pak prabowo.. kita semua anak bangsa, stop polarisasi...kita riil contohkan rekonsiliasi"
bray,​@bakayaro_16mending pilih puan jadi cawapresnya suara mic aja dimatikan orang lagi demo di aja malah ngrayain party didalam ruangan oia ganjar itu dari partai mana ya
bakayaro_16,Si wowo akan kalah di putaran kedua krna kadrun merapat ke wowo<br>Siapapun yg di dukung kadrun akan nyungsep<br>Dan projo akan kembali lagi ke ganjar
Gelsy and genia,"Lah iyo klo putaran kedua suara anis gha akan ke ganjar,. 😅"
Karsiono 005,"Pak Ganjar pas banget ,jadi RI ,1,💟🇮🇩💪🙏🙏🙏"
Laurentius Samosir,"Kaum nasionalis benteng NKRI! Mari kita kepalkan tangan dan singsingkan lengan baju. Kita menangkan Bung GANJAR PRANOWO menjadi Presiden NKRI penerus VISI, MISI, dan PROGRAM-PROGRAM Presiden Joko Widodo untuk INDONESIA MAJU.<br><br>Ganjar Pranowo yang paling dekat dan sangat perduli dengan wong cilik seperti Jokowi. Ganjar Pranowo itu relijius dan anti radikalisme. Ganjar Pranowo Presiden NKRI 2024. <br><br>Ganjar Pranowo tidak ada kaitan dengan rejim otoriter ORDE BARU yang akan melahirkan kembali kejahatan dan kekejian ORDE BARU."
ROHMAT RORI,Alhamdulillah....<br>Semangat SELALU UNTUK Mendukung Dan Memilih Pak Ganjar Pranowo ❤️🙏💪🇮🇩🇮🇩🇮🇩🇮🇩
gonzales 1927,Alhamdulillah....
Laurentius Samosir,"Kaum nasionalis benteng NKRI! Mari kita kepalkan tangan dan singsingkan lengan baju. Kita menangkan Bung GANJAR PRANOWO menjadi Presiden NKRI penerus VISI, MISI, dan PROGRAM-PROGRAM Presiden Joko Widodo untuk INDONESIA MAJU.<br><br>Ganjar Pranowo yang paling dekat dan sangat perduli dengan wong cilik seperti Jokowi. Ganjar Pranowo itu relijius dan anti radikalisme. Ganjar Pranowo Presiden NKRI 2024. <br><br>Ganjar Pranowo tidak ada kaitan dengan rejim otoriter ORDE BARU yang akan melahirkan kembali kejahatan dan kekejian ORDE BARU."
Krisna Preset,Ganjar pranowo OKE.....
jul yani,"Jika anis kalah di putaran pertama, saya yakin prabowo menang. Dikarnakan suara anis pasti pindah ke prabowo. Tapi ganjar tetap msih bisa bersaing"
Rakyat Bersuara,"Aneh bin Ajaib. Survei dengan Sampel 1000 orang di jadikan pegangan. 😂<br>Sementara Poling Terbuka ( memberi suara langsung) oleh ratusan ribu, bahkan Jutaan orang ga di jadikan indikator  elektabilitas siapa tertingi. Lucu ga coba??😅😅. Akal sehat mana yg bisa terima???. 😂<br>1000 sampel VS Ratusan Ribu poling terbuka. Memberi suara langsung??.<br>Masa TIMNAS Menang 10 kosong. Tapi dihitung 1 kosong. 😂😂. Ya tuhan...."
A10 Duos,Bayar uang brapa lembaga surve nya😂😂😂😂
sdz,"Hasil Survei Independen hasilnya tdk jauh beda bila pilpres diselenggarakan.  Kalo sdh tau potensi menang besar,  ngapaen milih yg elektabilitasnya rendah. Gitu lho logic simple nya.  Ayok merapat ke Ganjar wahai kln yg masih ragu😊"
Rakyat Bersuara,"Sudah lah jangan lagi bikin rakyat ngakak😅. Sekarang bukan tahun 2019. Hampir 270.juta Rakyat Indonesia semua udah pada pegang HP dan telah melihat dimana mana, bahwa bukan survei tapi Poling terbuka di Semua medsos., mulai dari  facebook, tiktok, Youtube.dengan Respon poling terbuka  ratusan ribu orang. Bukan sampel seribu orang. Dan dimana mana Hasinya Anis menang Telak 80℅ sampa 90😅😅😅. Sampaikan Ke Yg Endors Ganjar  dan prabowo. Ga usa terlalu panik undang ketum ketum partai sana sini Untuk kalahkan Anis. 😅😂😂. Ntar publik menilai terlalu kelihatan Panik karena Kekuasaan akan segera Runtuh 2024.😅"
Delta Pujangga,jangan mengulang sejarah arogan...ayoo  dukung Prabowo Presiden
Ahmad Rifai,Semoga menang semua
jhonny tupan,"Rakyat indoneisia tidak meliat lagi serfei tingal meliat ,2024 tetap prabowo presiden ini kan permainan bola ,u20"
Lalu Nas,"Mantap pak ganjar, mudahan amanah jujur, merdeka"
Fajar Nugraha,Survey abal abal
MUST WE WITH,Pilihan boleh beda tapi masyarakat yg cerdas pilih yg benar2 berprestasi
jonbudi,ok
Awe Tiga,"Prabowo orang yang tepat untuk memimpin negeri ini setelah jokowi mengatasi konstetalasi  global. Pertarungan global, perekonomian global. Maaf, anies dan ganjar belum punya kapasitas itu. Pemimpin merakyat beda dengan pemimpin Berjiwa negarawan untuk rakyat. Prabowo Negarawan untuk rakyat. NKRI harga mati.. 2024 Prabowo presiden🇮🇩"
Awe Tiga,"@Karsiono 005 menjadi daerah kolam renang terluas 😂, biarkan banjir pak gub nanti surut sendiri yg penting tiktokan dulu toh"
Awe Tiga,"@ITE WAHYU apakah mendukung israel untuk kepentingan kelompok pribadi seakan membela nega islam. Bicara islam itu si ganjar suka nonton bokep, piyee😂, seorang pejabat publik sosok panutan suri tauladan"
ITE WAHYU,"@Awe Tiga mungkin penjajahan di atas dunia itu terkhusus untuk israel kali..<br>Kalau mau nolak rusia karena penjajahan efek nya ga signifikan <br>Tapi efek dari nolak israel itu buntut nya indonesia gagal jadi tuan rumah pildun <br>Negara rugi,generasi muda rugi,mau memerdekakan negara orang, tapi tertindas di negara sendiri oleh rakyat sendiri"
Awe Tiga,"@ITE WAHYU banyak yg bilang berjiwa nasionalis karena bersikap penjajahan diatas dunia harus di hapuskan, kilas balik ke G20 kok pada diam kehadiran rusia ya"
ITE WAHYU,"Terus kabarnya indonesia rugi triliunan gar² pak ganjar,,tidak mau menerima israel pada pildun u20"
maryati 123,MANTAP MASEEEEE GASPUOL
Tiger Vega,Jadi ingat survai waktu pemilihan gubernur DKI..di saat itu pendukung pak ahok amat sangat percaya diri secara dari PDI pasti akan menang pak ahok.karna hasil survainya slalu peringkat teratas dan pak anis terendah.tapi tangan allah akan melindungi dan di beri kelancaran ke pada pemimpin yg bersungguh sungguh utk rakyat.ternyata pak anis menang....allah akan slalu melindungi pemimpin yg benar2 niatnya hanya utk rakyat....<br>innsaallah☝🏼
Indra Safri,Pilih yg petugas rskyat jangan petugas parte bang
Aceh Indonesia,​@Zulkifli Siregar oke anda bijak
Aceh Indonesia,Semoga komunis bisa dihapus oleh Pak Anis
Aceh Indonesia,Jika Anis tidak unggul jelas itu permainan
Aceh Indonesia,Anis jelas pilihan rakyat
deAthoo_Channel,"Prabowo Capres terkuat, head to head thd ganjar maupun anis pasti akan menang"
Tom Jerry,Kalau saya jadi tukang survei elektabilitas Anis B  pasti saya katakan Anis B yg teratas...
backbone,@Tom Jerry lahh...buktinya apa?
Tom Jerry,@backbone kalau memilih presiden lain dari Anis siap2 untuk di bohongi lagi...
backbone,Anies bohongin warga jakarta dgn buat strategi marketing rumah dp 0 Rp yang bulshitttt....👎
muhammad Nur Syams,Anies Rasyid Baswedan presiden kita 2024
Supri Adi,"Kq elektabilitas parpol angkanya 28,9% semua...... 👎👎👎👎👎"
Noldy auna,Anies Baswedan Ok
Noldy auna,Anies Baswedan Ok
Ira Wati,❤ter ganjar ganjar
mukhlis amir,Pak ganjar duwet sama pak giring saya yakin surveynya pasti tambah meroket
Eliandi Tjung,GANJAR PRANOWO RI 1👍👍👍
UNTUNG S,Ganjar penerus pak dek 💪
Imam Syafi i,Siap pilih pk ganjar
Fadlon RJ.A,Kmi di Aceh 80%mendukung pak anies
Nurhidayat,🤟🤟
mas thofik,Joss ganjar
S. Lukman244,"Survey abal&quot;, pecah perut para lembaga survey kekenyangan.."
Joss Ivan M,PRABOWO TETAP TERBAIK👍👍..
gunawan liwijaya,Ganjar tetap di hati
Margaretha Yohana,Pilih Ganjar dong....❤
arsyah saputra,Gass pool pak ganjar.....
suprapto tewel,"Walaupu paling kecil &amp; terendah Survei y, tapi Anies paling di takuti&#39; &quot;Anies 👍"
Kim myungdae,Alhamdulillah selamat Pak Ganjar
Wawan PJ,"Hebat LSI cerdas sesuai dg pikiran saya. Yg saya baca juga begitu. Pada akhirnya prabowo yg akn menang. Klo ingin satu putaran ya ganjar hrs mengalah untuk jd cawapres prabowo. Megawati hrs Mengalah skli2, kn prabowo sdh buktikan disiplin dirinya dan memgalahnya, sekrng gantian dooong. Masa cuma bisa nyuruh saja kpd orang untuk sabar, tp dirinya tdk sabar2. Apa kata dunia."
putri,Basis prabowo disemua kalangan.pdi sdh ketar ketir jika prabowo masuk pencalonan
putri,Putaran kedua terjadi
Hamikua Aja,Ganjar Ganjar next ，RI 1
Deni Aja,ARaB  (  Anis Rasid Baswedan )   Pas...
Sumber Mandiri,Lakon metune keri tanpa gembor2 ganjar yesss
Gigih Berbakti,Ganjar Pranowo yes.....subianto no
Sutik No,"Sekali ganjar tetap ganjar   yg lain,,, NO,,,!!!!!"
Pak Warjo,Kaum buruh sama driver truk Indonesia gabung Ganjar
Lioe Fung,No  1  prabowo  presiden  nkri .petugas  rakyat  th  2024 ...gerindra  menang  ❤❤❤
Juse Mink,"Kenapa saya pilih bapak Anis Baswedan sebagai presiden, karena hanya di tangan beliaulah RUU perampasan aset koruptor bisa di sahkan, kalau jokowi gak akan berani karena partai nya yaitu PDIP menolak keras undang-undang tersebut begitu pun ganjar pranowo, yang sama sama di usung PDIP, secara pribadi saya himbau kepada seluruh warga negara indonesia yang menginginkan perubahan untuk kesejahteraan bangsa ini marilah kita secara suka rela mendukung koalisi perubahan agar koruptor bisa di tindak secara maksimal karena telah menyengsarakan hidup orang banyak di negeri ini"
Juse Mink,"@backbone faktanya arteria Dahlan menjegal RUU perampasan aset tersebut bahkan diruang rapat DPR dan di hadapan kemenkuham, Arteria itu adalah kader PDIP, yang anda bangga banggakan itu, menurutku PDIP itu adalah sarang koruptor"
backbone,"Lahh...emangnya untuk mensahkan UU itu cuman didukung oleh satu partai, perlu juga partai lainnya bro karena khan musyawarah untuk mencapai mufakat/ dengan pemungutan suara anggota dewan dari semua partai...jadi jangan menuduh partai pdi p gak.mendukung UU perampasan aset cuy!!!"
Ernawati 03,Prabowo yes
ana sobirin,Skali prabowo tetap prabowo
Dudi Prayogo,Insyaallah Anies Baswedan menjadi presiden RI 1 di tahun 2024
Kunci Yayan,"Yg surfe nya di bawah biasanya bakal menang telak,"
Josh.F Tambunan,Pak ganjar the real penerus pak jkowi❤
Josh.F Tambunan,@Mocci Occ itu perintah konstitusi partai&amp;negara kita utk tak bersahabat dgn palestina bos 😒
Diki Aditri,Menolak Lupa Pildun Indonesia yang gagal😮
Yogi Suwarno,Aurvey bayaaran ngak aeauai fakta laapaangan
Iyan Sopyan,"Wkwkwkwk<br>Survei bayaran,<br>Rakyat gak ada yg percaya lagi"
Ganda Simanjuntak,Selalu..!! ??? Dasar penipu..
adiva official,"Klo 3 Capres trus 2 Putaran,..Ganjar jangan Berharap Menang."
Sahat Napitupulu,Dan akan tetap semakin naik dari waktu kewaktu sampai pendaftatan ke KPU.  Satu putaran..
La ode Sukman,Surfei ji
CREATORS709,Survei nya 1 2 tapi seperti takut sama nomor 3 😂😂😂😂
Pangat Bador,Pak Ganjar Pranowo Yeeeeeeess.....👍👍
Agus Sulaiman,Hari gini masih percaya survei
Mama Dhanie,Tetap Pak Ganjar pranowo ❤
Sao Dah,Pilih kang Ganjar gk bakal menyesal
La' Viory,Semoga saja dukungan utk bpk Ganjar Pranowo semakin bertambah byk utk menuju RI.1
N Meci,@Iswantoro Yudi wah ngaku aja kalah. cari2 alasan.
dapit nurpalah,@Iswantoro Yudi kalo di negara Republik Indonesia itu negara yang sangat demokratis. Beda dengan negara +26 Konoha banyak setingan dan titipan 🤣🤣
Iswantoro Yudi,@N Meci waduuu...hasil begalan....andai ahok gk kna kasus pasti menang ahok bro
Iswantoro Yudi,@dapit nurpalah kayak hidup lu aja udah diseting😂😂😂
N Meci,Jadi ingat pilgub dki. Hasil survey anies ditempatkan di urutan buncit tapi akhirnya jadi pemenang😂😂
AH OK,Yg pasti 2024 PARTAI ORBA NEW CUSTOM VS PARTAI WONG CILIK😊
moh giri,CERVEI ABAL ABAL ...<br>RAKYAY SUDAH PINTAR JANGAN KALIAN BODOHI MIN .
Guno Gumowongso,Ganjar pribumi asli prabowo campuran cina anis yaman yg pasti pati urip melu ganjar pro rakyat yg tak punya masalah yg setuju lek sebanyak banyaknya
IQBAL,Kami mendukung penuh pak ganjar.... Semoga succes.
Fahrur Rozi,Kok Sik manis smkin mnrun😂😂😂
Uun Nurhayati,"Jangan memaksakan diri, hanya buang uang rakyat, tolong pangeran dunia detik ini cuma 1👍💯🙏 please lihat medsos please..."
Uun Nurhayati,"Udah jangan pura2 buta, dan bodo semua orang baik anak-anak kecil dan dewasa serta orang tua tinggal lihat medsos, please jangan bodoh atau pura2 buta liat medsos sekarang please...mks"
Uun Nurhayati,"Lihat medsos, jangan memaksakan diri, pangeran dunia detik ini 1 tidak banyak, tolong ngapain cuma buang waktu dan uang pemerintah daerah dan pusat tolong lihat medsos please...mks"
Rafanda 2018,ora milih ganjar
Abdul Chanel,"5,7 % sampai 8,7 % 2024 ganjar yes"
Nazfudin Zaky,JARJI ganjar siji ganjar kabeh ❤
Pangat Bador,Siaaaaap....Ganjar Pranowo Notonegoro...👍👍
Rafanda 2018,ora
Shafa Phone,Anis mundur aja dr pada nanti malu.
Manan Sidikk,Hoax gx nih...wkwkwk
Embahfreedom,Sejarah mencatat presiden tetap  dari jawa ini fakta bukan Hoax<br>Suku apa saja dari nusantara bisa jadi presiden asal ada gerbongnya ada dukunganya pasti bisa jadi presiden  NKRI.
Dapur IJT tv,Ha ha sorve Abal Abal
Dapur IJT tv,Prabowo yessss 2024
Boy Andiek,"Head To Head Ganjar Pasti Keok 😀😂<br>Di pilpres Kali Ini Saya Akui,Prabowo Yang Di untungkan.karena Dia Diposisi Tengah. Biar Cebong &amp; Kampret Gak Terbelah trs, slalu Narasi Kebencian Mulu."
moh giri,Servei bohong ... emange rakyat bodoh kalian bhongi.
merkurius band,Ganjar 🔥🔥🔥🔥
Farianus Bereck,Ganjar Pranowo RI 1
Siganteng Kalem,Siaapa yg disurpeynya bos...dari dulu yg disurpeynya orang itu itu juga...hasilnya ya pasti sama ..dasar surpey abal abal
Lehon Abhid,ganjar RI 1
Agus Salim,Survei abal abal tuh
Mahmudin Mahmudin,Alhamdulillah anies semoga konsisten sampai selesai pemilu diposisi buncit.
adel,"Waspada jangan berpuas diri dulu, tetap kita berusaha semaksimal mungkin meninggalkan jauh Prabowo dan Anies.. diprediksi pilpres dilakukan 2 putaran , ingat pengalaman Pilgub dulu di Jakarta dimana BTP dikalahkan saat putaran kedua digelar.....!!?"
adel,"Ingat pengalaman Pilgub Jakarta , dimana BTP cs dikalahkan Anies cs pada putaran kedua dgn politik identitas nya , waspadalah , jangan berpuas hati , tetap berusaha ...!!!"
Mawar Merah,Doa dr RAKYAT INDONESIA Smg ALLAH mengirimkan  pak GANJAR jadi presiden RI....<br>AMIN...🤲🤲<br>ALLAH maha kuasa....<br>ALLAH mh adil....<br>Klo ALLAH sdh berkenhendak pak GANJAR jadi Presiden siapa yg bisa menghalangi....??<br>Mamusia manapun  gak bisa menghalangi...!!<br>Paham km....!!<br>☝️☝️💥💥
Ked Mulyana,Ganjar selalu memimpin
Tirta Aruem,Puji Tuhan mga yg jdi no 1 terus pak Ganjar Pranowo yg jdi presiden 2024 Amiin3
Erwin Santoso,Maaf saya tidak yakin dan ragu dng survei2 itu.....coba adakan survei atau polling live terbuka jadi semua orang bisa ikut survei.....
engelhart bental,Gp presiden 2024
Heru Budi,"alhamdulillah, inshaAllah di 2024 pilih Pak Ganjar."
Aqil Kurniawan,Alhamdulillah ganjar di atas 😍👍 sudah jelas karena biaya kampanye nya lebih besar ✊❤️❤️❤️
sulastri lastrii,Alhamdulilah pa Ganjar <br>Pasti persiden 👍
Zainal Wahid,Selalu teratas karna titipan dan dibayar
偉大的中國,"Prabowo ataupun Ganjar, yg penting bukan Capres pungutan impor.."
backbone,Ganjar aje ah
Mawar Merah,Alhamdulillah pak GANJAR sll unggul survaynya....!! 🙏🙏 Ya....ALLAH 🤲🤲 tolonglah rakyat INDONESIA ini kirimkanlah pemimpin yg benar2 iklas &amp; tulus untuk memimimpin &amp; melayani RAKYAT Indonesia....ya ALLAH.....🤲🤲<br>Pak GANJAR ....☝️☝️👍👍yg sll di tunggu2 Rakyat Indonesia smg engkau kirimkan ya ALLAH.....!!<br>AMIN....🤲🤲
Nelson Nelson,Ganjar P
Tarsan Auo,Prabowo menang 2024
Naim Sheva,Salam metal bos Ganjar<br>..kembali reborn.
Bang Baron,Kadrun pasti klojotan
Adi Eff,Ganjar penerus program jokowi. Ayo rapatkan barisan dukung ganjar❤
Adi Eff,@Rafanda 2018 bukit barisan 😁
Rafanda 2018,barisan apa
Khairil Anwar,Non sen ganjar selalu diatas
M rifaldy alanda,Lawan berat pak ganjar prabowo kalo anis sekelas pilgub aja masih bisa menang
KiddzChnl,Taek PDI RA BAKAL MENANG
DOT ID,AH...ITU POLITIK KAMPANYE.<br>👇<br>BAYAR LEMBAGA SURVEY UNTUK NAIKAN JUMLAH SURVEY.<br><br>RASUAH ITU SUDAH MAKANAN PARPOL.
Amel Delifa,"KALAU KATA GURU-GURU ,<br>Biar anak bahagia , nilai nya 9 pun , tetap harus di sebut Nilai 1😂, <br>soalnya nanti anak takut ngamuk-ngamuk....😅😅😅"
Nur Wati,Survey abal-abal 😅😅😅😅😅
Ardi Aja,Jijik milih org yg suka nonton bokef
Badawi Al Khatiri,"Nanti kalau ganjar menang dan pdip hatrick lagi, dituduh curang lagi, fitnah dan hoax lagi, berkata dan berdoa buruk lagi, nyalahin Tuhan lagi, gak percaya takdir Allah SWT lagi, sampe kiamat gitu aja terus kadrun yaman kelakuannya gak tobat2.. Wkwkwkwk... Cuakks"
Jajat S,Semoga yohanes anus nyungsep
Karyandi,"Yang penting, asal bukan Anies.. <br>😆😆😆"
Sabilul Rosyid,Bismillah Pak prabowo  Ri 1Aamin
Iskandar Cowok,Dia ambel suara y dri mna<br>Ku GK merasa meleh
wagiyo dini,"Saya. Keluarga besar saya dan mahasiswa saya juga pilih Ganjar karena ganjar satu2nya calon pribumi, dia yang mewakili kita."
Indra Safri,Anda kurang cerdas kalau bukan asli pribumi mana bisa nyapres bg menurut undang undang mikirrrr
Indra Safri,Tapikan dia jadi petugas parte bang tetap boneka lah dia bang
Jajang Zakaria,Hebat petugas partai survei nya tinggi
Alber Ratung,Ganjar yes💪
anto Manuntung,Hny pk Ganjar yg mampuu terusknn perjugan pk Jokowi
Joko Warung,Aku tetap GP
Yazid Mahfudz,Yg penting Anis tdk turun ke peringkat 4
wulandari tari,Insya&#39;allah tuhan<br>Masih mencintai negeri ini.<br><b>Ganjar Prabowo</b> akan menjadi presiden 2024<br>❤❤🤟🤟💋💋
Heri Alfaridzi,Ribet dah klonpetugas partai
adel,"Jangan dulu berpuas diri, kontestan lain masih dapat mengalahkan Ganjar dan pasangan nya pada putaran kedua , belajar dari pengalaman Pilgub Jakarta dulu ( Anies dgn politik identitas nya ) ...."
Mawar Merah,AMIN.....ya ALLAH.<br>🤲🤲
Pemirsa Budiman,Biasaaa.. jagoan kalah duluan.. semoga Anies yg menang agar Indonesia jadi lebih baik
Teddy April,"Arteria Dahlan pernah keceplosan,dan kalian masih percaya lembaga survei 😆"
Andi Brebes,Mantaappp 👍👍
WAF ID,GANJAR DAN BU GANJAR YG CANTIK .. PRESIDEN AMIN ❤
DIKA98,Alhamdulillah semoga pak ganjar jadi presiden ri di 2024.
RIKI ANTONIA,Ganjar Pranowo terbaik ❤️
RIKI ANTONIA,"@Aceh Indonesia ngurus jakarta aja ga becus, kalah sama gibran soal memimpin"
Aceh Indonesia,Anis Masa depan Indonesia Maju damai dan sejahtera
RIKI ANTONIA,@Sofyan Wijaya TAI WKWKWK
Sofyan Wijaya,Terbaik nya dmn ? <br>Siap2 2024 untuk kehancuran banteng<br>Kalian udah bikin negara hancur
Widayat Ir,"Alhamdulillah,aamiin YRA."
Hadi Salim,"great news, yg penting asal bukan yaman ayat mayat."
Murwani Dewi,pendukung p ganjar lebih banyak yg tidak bersosmed...jadi survey yg dimenangkan p prab...??????
Jack W,PAK GANJAR !!!!!!!!!!!
Apriyandi Kelana,Ganjar Pranowo.                &quot;Topmarkotop-lah&quot;!!
Dapur Vanna,"Coba kalian mampir ke TV sebelah malah survey gini.. ngakak, bengek saya baca komentar mereka yg disebelah.."
Eight Ape,"InsyaAllah Pak prabowo next president 2024,,, kemungkinan Akan Ada putaran 2 ,,,Dan survey membuktikan Pak prabowo pemenangnya✌️✌️✌️"
ahmad khoirudin,Ganjar the best
Nano Romansyah,Prabowo
Ubay Call,Prabowo presiden top 2024
muhammad baihaqi,Garis tangan presiden yaaa ganjar. <br>Prabowo realistis laaah. <br>Yohanis ahlinya gali sumur
Fajar Dwiono,ganjar presiden.
Doko Wahyono,"Asumsi analisa saya cawapres Ganjar adalah mbak puan sebab yg menentukan cawapres Ganjar yaitu BU Mega,bila dari orang dekat p Jokowi asumsi saya p Erik Thohir lihatnya orang kepercayaan pak Jokowi di berbagai even penting❤❤"
Doko Wahyono,Asumsi kok ngawur terus dg siapa cawapres ganjar
Den Mas,"Asumsi ngawur,tapi ya sah2 saja itu asumsimu sendiri😂.Variable penentu cawapres itu lebih kompleks"
adel,"Jika Puan yg jadi cawapresnya , diprediksi elektabilitas Ganjar bakalan merosot , sejak awal Puan telah mengucapkan ketidak senangan nya terhadap Ganjar sbg pesaing, sehingga hubungan nya dipastikan tidak harmonis ....!!!"
Syefrudin Lemos,Pilihanku ganjar
Reza Demak,jos gandos pk ganjar
sunartokades bulurejo,Mantap p Ganjar rakyat cerdas pilih p ganjar
Ubai Dillah,Orang jujur dan cerdas pasti pilih pak anis
Si ganteng Ganteng,Prabowo sajaaah  .....  Ga mau petugas partai
The Jemadu,Amin Smg Allah restui Ganjar Ri 1 2024...kita dukug org baik jujur bersahaja peduli rakyat...Ganjar sahabat rakyat.
ucup chanel(mie ayam deso),Ganjar pranowo sak jos e
Suhaedi Eddi,Alhamdulillah... Semoga BPK Ganjar Pranowo Presiden 2024..😍🤲
Mawar Merah,​​@Ubai Dillah <br>Doamu jelek smg kembali pd dirimu yg mendoakan....!!.<br>AMIN....🤲🤲<br>ALLAH mh adil....!!
Ubai Dillah,Semoga ganjar tdk jadi presiden brroo
Rey,Jokowi di hati GP di nanti  ♥️🇮🇩
Moh Rojikan,Saya 6 orang semuanya pilih <br>Pak ganjar pranowo presiden
Ubai Dillah,Dan saya juga 10 org pilih pak Anis
Al fatih,"Jika 2 putaran ganjardrun bakal nyungsep,krn suara anis beralih ke prabowo,krn tdk mgkin suara anis ke ke ganjar."
Mawar Merah,Doa dr RAKYAT Idonesia untuk pak GANJAR bisa terpilih jadi presiden smg diijabah ALLAH....☝️☝️🇮🇩🇮🇩👍👍<br>AMIN...🤲🤲<br>ALLAH mh kuasa segalanya klo ALLAH sdh berkehendak siapa yg bisa melawan....??<br>☝️☝️☝️💥💥💥
Veri penjara,Kami tak percaya survei karna survei pakai uang
Garuda Api,GAMA 👉GANJAR 🇮🇩 MAHFUD 🇮🇩❤
Aqil Kurniawan,Sama PDIP ❤
ANDI IBROHIM,​@Amel Delifa anis- novel😮
Amel Delifa,"lebih cocok , ganjar puan , atau ganjar jokowi , COCOK👍"
Simon Jallu,ANDAI YOHANNES ANIS RASHID BASWEDAN GAGAL NYAPRES DI INDONESIA GAK TERLALU MASALAH MASIH ADA HARAPAN IKUT PILPRES DI YAMAN
David Siregar,Ganjar Pranowo Pancen Oye. Mantap Tenan 👍
Faried Elino,Joss pak Ganjar🔥
Johari Ami,Semuga Alloh swt<br>Meridhoi pak GANJAR PRANOWO menjadi RI 1<br>AAMIIN AAMIIN AAMIIN YA ROBBAL AALAMIIN
Masa Depan,"Jangan terobsesi dg lembaga survey bayaran oligarki, ingat 2004 buk mega selalu unggul survei tapi kok pak SBY yg menang, 2014 pak Prabowo unggul 6 lembaga survey nyatanya pak Jokowi yg menang, di dki pak ahok selalu unggul survei tapi kok mas anis yg menang, sampai disini kau masih percaya lembaga survey bayaran oligarki??? Sekarang fakta nya rakyat butuh perubahan bukan pencitraan"
NG Slanker,Prabowo-Mahfud MD 2024 pasti saya COBLOSSS.
Ayu Pertiwi,Tetep PK Anis baswedan
Ran Mouri,Sepertinya ada yg akan kembali ke habitat menjadi oposisi sejati 🤭
Kepler Bintang,"Udh 7 bulan si Anis ini deklarasi tapi rating nya gk naik2 dan tetap urutan buncit pdahal udh keliling Indonesia,gimna mau menang"
Supri Adi,"Dulu dikampung saya setelah deklarasi Jokowi banyak warga yang antusias membuat posko tapi sekarang setelah deklarasi Ganjar sepi tidak ada respon, karena aura pamor dan wibawanya ganjar tidak SEISTIMEWA JOKOWI"
Pariman Cs,In sya alloh ganjar
Edi Sugiyanto,"Pak Ganjar calon presiden terbaik 2024, pendeng gepeng pilih pak ganjar, Insya Alloh"
